Index,Country,Year,Happiness Rank,Happiness Score,Freedom,Generosity,Life Expectancy,GDP/capita,Corruption
411,Bhutan,2017,97,5.01100015640259,0.501537680625916,0.474054545164108,0.495879292488098,1.4556463080947604,0.173380389809608
412,Kyrgyzstan,2017,98,5.00400018692017,0.454943388700485,0.42858037352562,0.553457796573639,2.4482414712452094,0.0394391790032387
413,Nepal,2017,99,4.96199989318848,0.440305948257446,0.394096165895462,0.504130780696869,1.8051794407471504,0.0729755461215973
414,Mongolia,2017,100,4.95499992370605,0.394143968820572,0.338464230298996,0.557783484458923,2.289171587649628,0.0329022891819477
415,South Africa,2017,101,4.8289999961853,0.479246735572815,0.139362379908562,0.187080070376396,2.038185599327205,0.0725094974040985
416,Tunisia,2017,102,4.80499982833862,0.289680689573288,0.0496933571994305,0.613212049007416,3.1710412373593915,0.0867231488227844
417,Palestinian Territories,2017,103,4.77500009536743,0.25471106171608,0.114173173904419,0.565666973590851,2.788879772579553,0.0892826020717621
418,Egypt,2017,104,4.7350001335144,0.282110154628754,0.128631442785263,0.520187258720398,3.0677365207210543,0.114381365478039
419,Bulgaria,2017,105,4.71400022506714,0.289231717586517,0.113177694380283,0.708217680454254,1.8136112076996305,0.0110515309497714
420,Sierra Leone,2017,106,4.70900011062622,0.318697690963745,0.293040901422501,0.0055647538974881,1.4776751380138564,0.0710951760411263
421,Cameroon,2017,107,4.69500017166138,0.430388748645782,0.236298456788063,0.132892116904259,2.4136255629043224,0.0513066314160824
422,Iran,2017,108,4.69199991226196,0.249322608113289,0.387242913246155,0.639333188533783,1.8196969932447362,0.048761073499918
423,Albania,2017,109,4.64400005340576,0.381498634815216,0.201312944293022,0.731159746646881,1.4881444376302846,0.0398642159998417
424,Bangladesh,2017,110,4.60799980163574,0.478356659412384,0.172255352139473,0.533241033554077,2.7423082698411307,0.123717859387398
425,Namibia,2017,111,4.57399988174438,0.520303547382355,0.0771337449550629,0.33861181139946,2.2234721375658584,0.0931469723582268
